name,category,image_url
Clips,Hair Accessories,https://i.pinimg.com/736x/41/3c/a3/413ca333b94966aa9321e14c0ca1e6e1.jpg
Keychain,Accessories,https://i.pinimg.com/1200x/32/1f/c4/321fc46e5e840ee2089772d69cad56a7.jpg
Crocs,Footwear,https://i.pinimg.com/736x/ea/5b/6c/ea5b6c36b7df7dbab03b1cb83b21a419.jpg
Glass jar,Accessories,https://i.pinimg.com/1200x/97/b3/05/97b3057285a145e44fc33ffdcbfc1933.jpg
Charger,Accessories,https://i.pinimg.com/736x/e3/fc/46/e3fc466bd8dc1eff566c1c3b4c44f217.jpg
Chair,Furniture,https://i.pinimg.com/736x/9f/91/bf/9f91bfbd484c41574916aa725724cc75.jpg
Plastic Box,Accessories,https://i.pinimg.com/1200x/36/f0/77/36f077e5112302ea47e60283693adb15.jpg
Keyboard,Electronic,https://i.pinimg.com/1200x/c9/a0/17/c9a0171ce8c6678dd563de948dd65ef3.jpg
Mouse,Electronic,https://i.pinimg.com/736x/9c/f1/78/9cf178d3a302cb9d4ecf08e4724e0fe5.jpg
Printer,Electronic,https://i.pinimg.com/736x/91/c3/82/91c382be2031c07666296ed9e5db4eeb.jpg
Speaker,Electronic,https://i.pinimg.com/736x/93/75/af/9375af0ede36fde644c6b8cfe0759352.jpg
Speaker,Electronic,https://i.pinimg.com/1200x/03/df/9d/03df9de8f06cb6c658819682135c7c40.jpg
SmartWatch,Electronic,https://i.pinimg.com/736x/2e/c4/6f/2ec46fb8da84d4e1b92b8d438eb3c77a.jpg
Slipper,Footwear,https://i.pinimg.com/736x/28/ab/f3/28abf38b2b8cdec6b404a5e33edaa032.jpg
Loafers,Footwear,https://i.pinimg.com/1200x/1b/71/1d/1b711d4b3426dc67c683bfce39e2b541.jpg
Slipper,Footwear,https://i.pinimg.com/1200x/ef/3d/1f/ef3d1f30dbc85fb0ffe57332f62a6fdf.jpg
Knife,Kitchen Equipments,https://i.pinimg.com/736x/1e/70/3a/1e703a351b859d4dc1ed9b785baf83ef.jpg
Spoon,Kitchen Equipments,https://i.pinimg.com/1200x/07/82/c0/0782c04a0352a72622eb9c3511322530.jpg
Fork,Kitchen Equipments,https://i.pinimg.com/736x/70/21/a6/7021a689dc30ceda6ef39675307226d5.jpg
Bowl,Kitchen Equipments,https://i.pinimg.com/1200x/5a/71/78/5a7178373a92d8fdd46d001bab759d96.jpg
Pressure Cooker,Kitchen Equipments,https://i.pinimg.com/736x/ce/30/a0/ce30a032bcbcfab6ae6100655fd78f34.jpg
Induction,Kitchen Equipments,https://i.pinimg.com/736x/80/de/5a/80de5a1f5675344a09029d943e979566.jpg
Gas Stove,Kitchen Equipments,https://i.pinimg.com/736x/35/d9/c8/35d9c8b5d8963631ec06a6e4fb8b8e86.jpg
Wok,Kitchen Equipments,https://i.pinimg.com/736x/60/d0/66/60d06601f2c03b39e9cb9295ea464d7e.jpg
Frying Pan,Kitchen Equipments,https://i.pinimg.com/736x/ea/cc/ca/eaccca403c8df177476052efe9d37cca.jpg
Steel Plate,Kitchen Equipments,https://i.pinimg.com/736x/6e/a0/74/6ea074e20b0299edcf0288b6402af9a2.jpg
Sandwich Maker,Kitchen Equipments,https://i.pinimg.com/736x/87/7d/87/877d87dbdef8b4f4ca78af338f721a81.jpg
Toaster,Kitchen Equipments,https://i.pinimg.com/1200x/29/b9/01/29b901cf0d61272038ffd83f95367fac.jpg
Idli Maker,Kitchen Equipments,https://i.pinimg.com/736x/a1/8e/6c/a18e6c8dbc78f75317c396e748fb1a14.jpg
Dust pan,Kitchen Equipments,https://i.pinimg.com/736x/71/81/07/718107d5f10f8b44fbe68d08d815351d.jpg
Mop,Kitchen Equipments,https://i.pinimg.com/736x/e5/c5/e6/e5c5e6ea788b097ceb2401f2e64a0198.jpg
Sling Bag,Accessories,https://i.pinimg.com/736x/c2/24/c5/c224c504eacfd0d0cb338935300f6c7e.jpg
Wallet,Accessories,https://i.pinimg.com/736x/06/17/9c/06179c25b8e6dd39e7438c5619cabad9.jpg
Wall Hangings,Decorative,https://i.pinimg.com/736x/76/5f/b6/765fb66bcdceab80e3090d164b202fd4.jpg
DreamCatcher,Decoratives,https://i.pinimg.com/736x/58/65/9e/58659e39499c6b39a01b2eddc10253f9.jpg
Wind Chime,Decorative,https://i.pinimg.com/736x/80/57/5b/80575b0d5972d4b7221c85f0b5fc09f2.jpg
Mosquito repellent,Daily Needs,https://i.pinimg.com/736x/ba/6c/76/ba6c765bc994dbcc371f1672e046349c.jpg
Steel Glass,Kitchen Equipments,https://i.pinimg.com/736x/68/1f/f2/681ff29a971dc7c2c49b8c56db5e83fa.jpg
Tiffin Box,Kitchen Equipments,https://i.pinimg.com/736x/f8/18/91/f818914d5177b3744d5501096a858140.jpg
BagPack,Accessories,https://i.pinimg.com/1200x/95/02/4e/95024e73df9b842d3cda9329427bd7ae.jpg
















































